,published_at,channel,title,duration,caption,licensed_content,projection,trend_time_hours,weekday,hours_until_trend,likes_growth,likes_growth/hour,first_rank,best_rank,views_growth,views_growth/hour,views_cleaned,likes_cleaned,dislikes_cleaned,comments_cleaned,category_name,duration_category,day_of_week
2,2021-04-03 13:00:14+00:00,Brawl Stars,"Brawl Stars: Brawl Talk! Two New Brawlers, TONS of Skins, and a New Game mode!?",255,True,True,rectangular,26.125555555555554,0,55.48888888888889,18543.0,709.7648109556416,3,3,3051500,116801.34393739635,20797544,940030.0,11778.0,114130.0,Gaming,0-5 min,Saturday
7,2021-04-04 21:57:24+00:00,Technoblade,"I Must Win MrBeast's $10,000 Refrigerator",788,False,True,rectangular,76.75888888888889,0,22.53611111111111,165130.0,2151.2817914682337,8,1,4036487,52586.5741209849,6988056,594257.0,3372.0,30740.0,Gaming,10-15 min,Sunday
9,2021-04-03 18:58:05+00:00,ELoTRiX - Clips,ROLEX von UNSYMPATHISCHTV GESCHENKT BEKOMMEN - PAKET VON MARC GEBAUER | ELoTRiX Clips,238,False,True,rectangular,0.4777777777777778,0,49.52472222222222,84.0,175.81395348837208,10,10,1724,3608.3720930232557,220157,16823.0,159.0,494.0,Gaming,0-5 min,Saturday
19,2021-04-04 19:00:00+00:00,Grian,Hermitcraft 7: Episode 73 - C.E.O of BARGE Co.,1374,False,True,rectangular,50.44222222222222,0,25.49277777777778,18761.0,371.9304815190097,20,3,678741,13455.810828670867,1983417,119843.0,807.0,21864.0,Gaming,20-25 min,Sunday
24,2021-04-04 18:14:54+00:00,MrBeast Gaming,Hide And Seek Across The Earth!,589,False,True,rectangular,69.6588888888889,0,26.244444444444444,150558.0,2161.3609174868006,25,6,6372900,91487.24738009027,14851126,697718.0,9338.0,50360.0,Gaming,5-10 min,Sunday
51,2021-04-04 23:54:41+00:00,LazarBeam,TIKTOKS you need to watch,544,False,True,rectangular,74.34861111111111,0,20.975,119048.0,1601.2135024565205,4,3,3406489,45817.78931833891,5872526,332592.0,4089.0,22049.0,Gaming,5-10 min,Sunday
52,2021-04-05 00:00:04+00:00,Scott The Woz,New Play Control! for Wii - Scott The Woz,1287,False,True,rectangular,44.69861111111111,0,20.885277777777777,11208.0,250.74604604915638,6,6,371250,8305.627194481558,1015313,65394.0,568.0,3887.0,Gaming,20-25 min,Monday
54,2021-04-04 15:33:17+00:00,Skip the Tutorial,Every Minecraft Staircase in 13 Minutes or Less,793,True,True,rectangular,44.06527777777778,0,29.331666666666667,21438.0,486.5055000472783,10,9,607007,13775.176978598669,1740654,79596.0,1711.0,2934.0,Gaming,10-15 min,Sunday
59,2021-04-02 16:00:15+00:00,SAD-ist,"""Hog Hunt"" | Dream SMP Animation",230,True,True,rectangular,21.031666666666666,0,76.88222222222223,49338.0,2345.891116570251,19,19,840106,39944.81337665425,7266530,800659.0,3806.0,96130.0,Gaming,0-5 min,Friday
61,2021-04-03 15:00:10+00:00,Not PaulGG,"I Survived 500 Days Of Hardcore Minecraft, In an Ocean Only World.",1416,False,True,rectangular,21.031666666666666,0,53.88361111111111,9873.0,469.43497899992076,21,21,312340,14850.939060147397,1628703,78507.0,1210.0,6920.0,Gaming,20-25 min,Saturday
62,2021-04-03 17:00:30+00:00,DanTDM,it's over.. (Minecraft Hardcore),1526,False,True,rectangular,26.698611111111113,0,51.878055555555555,36607.0,1371.1200124850438,22,20,678618,25417.726681579355,3285007,242696.0,3143.0,55438.0,Gaming,25-30 min,Saturday
70,2021-04-02 18:04:00+00:00,TommyInnit,Minecraft’s Surgery Mod is actually funny…,1408,False,True,rectangular,3.765,0,74.81972222222223,5219.0,1386.1885790172641,33,33,174379,46315.803452855245,6577235,509098.0,5150.0,32173.0,Gaming,20-25 min,Friday
76,2021-04-02 17:00:18+00:00,STA Studios,Among Us But Impostor Can Change Color,603,False,True,rectangular,2.381666666666667,0,75.88138888888889,575.0,241.42757172848144,39,39,51084,21448.84534639608,2798503,37468.0,2922.0,2454.0,Gaming,10-15 min,Friday
79,2021-04-03 15:14:04+00:00,Ph1LzA,"Philza gets taunted by Tommy, Ranboo & Drista on Dream SMP",590,False,True,rectangular,1.965,0,53.651944444444446,396.0,201.5267175572519,42,42,6228,3169.4656488549617,454921,49924.0,171.0,1603.0,Gaming,5-10 min,Saturday
92,2021-04-05 00:45:01+00:00,Klem Family,Family Easter Knockdown Challenge!!,43,False,True,rectangular,12.283611111111112,0,21.700833333333332,11133.0,906.329571922842,20,20,294204,23950.9373374641,632924,31669.0,874.0,389.0,Gaming,0-5 min,Monday
95,2021-04-05 04:00:10+00:00,Genshin Impact,Genshin Impact EP - A Warrior Far From Home,244,False,False,rectangular,22.700277777777778,0,18.448333333333334,9029.0,397.74843675432265,30,30,145671,6417.146143586104,825418,95387.0,446.0,7071.0,Gaming,0-5 min,Monday
96,2021-04-04 19:38:25+00:00,iBerleezy,"NEW CRIB, WHO DIS?",713,False,True,rectangular,23.75,0,27.227777777777778,6376.0,268.46315789473687,16,16,64784,2727.7473684210527,360011,65912.0,98.0,7447.0,Gaming,10-15 min,Sunday
98,2021-04-04 14:00:10+00:00,Tyz,Overhead but every other turn a Different Skin Mod is Used,131,False,True,rectangular,23.333333333333332,0,33.28194444444444,5403.0,231.55714285714288,19,19,490422,21018.085714285717,2220347,35656.0,1023.0,2233.0,Gaming,0-5 min,Sunday
99,2021-04-04 17:00:03+00:00,iskall85,HermitCraft 7: 79 | A PINK Return,1269,False,True,rectangular,25.366944444444446,0,30.28388888888889,5601.0,220.7991590105233,22,22,101772,4011.992860349755,381184,32483.0,406.0,2898.0,Gaming,20-25 min,Sunday
100,2021-04-04 17:00:14+00:00,STA Studios,Among Us But Impostor Can Hide Bodies,524,False,True,rectangular,24.30027777777778,0,30.280833333333334,9123.0,375.4278071809878,24,24,385905,15880.682662521003,1151022,40510.0,1326.0,1878.0,Gaming,5-10 min,Sunday
101,2021-04-05 11:00:06+00:00,SSundee,OFFICIAL SSundee FOOT ROLE (Among Us),901,False,True,rectangular,29.616666666666667,0,12.283055555555556,51737.0,1746.8880135059087,28,24,1376856,46489.229037704,2641826,166555.0,2181.0,14450.0,Gaming,15-20 min,Monday
117,2021-04-05 21:00:09+00:00,ShadowApples,"Minecraft Bedwars but if you draw diamond items, you get them...",753,False,True,rectangular,29.950555555555557,1,19.981944444444444,3864.0,129.0126319304038,12,12,334465,11167.23859694682,580483,17123.0,545.0,1097.0,Gaming,10-15 min,Monday
126,2021-04-06 11:55:03+00:00,Clash of Clans,Prepare For Town Hall 14! (Clash Of Clans Official),50,False,False,rectangular,48.20055555555555,1,10.716944444444444,41531.0,861.6290729705744,8,5,1341584,27833.372137250608,2476896,135422.0,2069.0,10688.0,Gaming,0-5 min,Tuesday
127,2021-04-06 12:00:08+00:00,Judo Sloth Gaming,Town Hall 14 Revealed! Clash of Clans Update Sneak Peek 1!,984,False,True,rectangular,41.50055555555556,1,10.632222222222222,8522.0,205.34664863924178,11,6,457760,11030.21378562536,792205,30421.0,735.0,3577.0,Gaming,15-20 min,Tuesday
130,2021-04-06 10:00:19+00:00,Genshin Impact,"Collected Miscellany - ""Rosaria: Purger of the Shadows"" | Genshin Impact",291,True,False,rectangular,18.950277777777778,1,12.629166666666666,5086.0,268.38656718605705,19,19,154603,8158.35006816083,684257,63947.0,361.0,4974.0,Gaming,0-5 min,Tuesday
135,2021-04-06 12:00:09+00:00,Beaker's Lab,OMG... TH14 IS HERE! ▶️ Clash of Clans ◀️ THE NEW COC UPDATE WE'VE ALL BEEN WAITING FOR,698,False,True,rectangular,24.300555555555555,1,10.631944444444445,2273.0,93.53695617384147,29,25,96120,3955.4651242541327,214144,11600.0,156.0,1509.0,Gaming,10-15 min,Tuesday
143,2021-04-06 18:14:47+00:00,PlayOverwatch,Overwatch Archives 2021 | Overwatch Seasonal Event,87,False,True,rectangular,23.217222222222222,2,7.2380555555555555,1912.0,82.35265966356393,13,13,131054,5644.689047881123,220889,11176.0,608.0,1501.0,Gaming,0-5 min,Tuesday
145,2021-04-06 01:02:18+00:00,Randumb,reacting to NOT FAMILY FRIENDLY tik toks...,644,False,True,rectangular,15.466666666666667,2,24.44638888888889,1933.0,124.97844827586206,37,28,61483,3975.1939655172414,216570,23541.0,255.0,778.0,Gaming,10-15 min,Tuesday
147,2021-04-06 18:05:07+00:00,The Game Theorists,Game Theory: 3 NEW FNAF Security Breach Theories!,1149,False,True,rectangular,91.23416666666667,2,22.8825,50428.0,552.7315241914122,1,1,2503442,27439.742055699164,4597819,224554.0,2890.0,29423.0,Gaming,15-20 min,Tuesday
156,2021-04-06 15:00:07+00:00,Sea of Thieves,Sea of Thieves Season Two Approaches...,39,False,False,rectangular,5.966666666666667,2,25.96638888888889,226.0,37.87709497206704,41,41,21993,3685.9776536312847,149088,6325.0,146.0,1654.0,Gaming,0-5 min,Tuesday
166,2021-04-07 07:38:23+00:00,Brawl Stars,Brawl Stars Animation - The #GoldarmGang Heist,91,False,True,rectangular,51.76722222222222,2,15.311388888888889,98260.0,1898.1122761077902,13,13,5551311,107236.02236507443,9586714,425270.0,5947.0,21159.0,Gaming,0-5 min,Wednesday
167,2021-04-07 01:11:53+00:00,Nintendo,PAC-MAN™ 99 - Announcement Trailer - Nintendo Switch,130,False,True,rectangular,24.28361111111111,2,21.753055555555555,3538.0,145.69497031605678,19,19,173440,7142.265588359776,656490,31000.0,732.0,6744.0,Gaming,0-5 min,Wednesday
169,2021-04-06 12:15:30+00:00,Kwebbelkop,Jumping YOUTUBER CARS Across ENTIRE GTA 5 RP! (Record),646,False,True,rectangular,42.58361111111111,2,34.69305555555555,8871.0,208.3195804332653,28,28,658628,15466.701456611503,1542111,32565.0,3025.0,1636.0,Gaming,10-15 min,Tuesday
172,2021-04-07 05:00:17+00:00,Ludwig,It's almost over...,982,False,True,rectangular,0.7333333333333333,2,17.946666666666665,471.0,642.2727272727274,40,39,13054,17800.909090909092,560582,22092.0,138.0,1197.0,Gaming,15-20 min,Wednesday
174,2021-04-07 15:00:03+00:00,JGOD,1.34 Update Broke MW Snipers: New No Glint Optics in Warzone | HDR/Kar98k Class Setup/Loadouts,425,False,True,rectangular,7.916944444444445,2,8.700277777777778,2547.0,321.7150275428932,29,23,152748,19293.807234833865,420604,13691.0,153.0,1522.0,Gaming,5-10 min,Wednesday
177,2021-04-07 16:42:05+00:00,xisumavoid,"Minecraft 1.17 Snapshot 21w14a Raw Gold, Iron & Copper (Works With Fortune)",487,False,True,rectangular,71.76722222222222,3,8.016666666666667,18927.0,263.7276379653355,21,10,737234,10272.572591944636,979144,41856.0,382.0,5498.0,Gaming,5-10 min,Wednesday
186,2021-04-07 18:45:24+00:00,MrBeast Gaming,World’s Largest Explosion!,512,False,True,rectangular,81.60055555555556,3,21.39472222222222,107988.0,1323.3733430464117,1,1,9794606,120031.11906917844,19250303,611768.0,13072.0,53299.0,Gaming,5-10 min,Wednesday
200,2021-04-08 15:00:06+00:00,Apex Legends,Apex Legends War Games Event Trailer,95,True,False,rectangular,70.40083333333334,3,8.249444444444444,26173.0,371.7711674814455,2,1,2073529,29453.188290858296,2520373,64451.0,1577.0,6545.0,Gaming,0-5 min,Thursday
209,2021-04-07 19:45:07+00:00,100 Thieves,Valkyrae and Courage Become Co-Owners of 100 Thieves!,1277,False,True,rectangular,22.00027777777778,4,29.516111111111112,1843.0,83.77166954962689,35,35,72239,3283.549450133205,488418,37749.0,183.0,2922.0,Gaming,20-25 min,Wednesday
218,2021-04-06 17:00:00+00:00,ZachRiceTV,1.17 Minecraft Snapshot (21w13a) In Under 1 Minute!| #Shorts,53,False,False,rectangular,52.100833333333334,4,72.55111111111111,477.0,9.155323811199438,13,13,47895,919.2751235584843,334288,19854.0,666.0,227.0,Gaming,0-5 min,Tuesday
219,2021-04-09 00:07:53+00:00,I Talk,"Fortnite Item Shop *NEW* ANIME LEGENDS BUNDLE + POKI! [April 8th, 2021] (Fortnite Battle Royale)",294,False,True,rectangular,55.81722222222222,4,17.419722222222223,912.0,16.33904310696619,15,15,117805,2110.5493127370087,401263,12444.0,405.0,2495.0,Gaming,0-5 min,Friday
220,2021-04-08 17:00:13+00:00,MythrodakTV,Escaping Minecraft's Most Inescapable Prison (hades vault) ft. SeenSven,739,False,True,rectangular,56.200833333333335,4,24.5475,16678.0,296.75716552245666,19,17,603691,10741.673462730387,848732,28291.0,469.0,5646.0,Gaming,10-15 min,Thursday
243,2021-04-09 17:04:06+00:00,DanTDM,Saying Goodbye to My Minecraft Hardcore World..,1005,False,True,rectangular,62.650555555555556,5,8.432777777777778,50454.0,805.3240638107314,7,6,1790916,28585.79599365085,2504127,111989.0,1140.0,33053.0,Gaming,15-20 min,Friday
245,2021-04-09 17:39:43+00:00,GeorgeNotFound,"Minecraft, But If You Laugh You Lose REMATCH",1446,False,True,rectangular,94.30055555555556,5,9.0725,222496.0,2359.434668112006,2,2,7316942,77591.71679205378,8555530,376675.0,8593.0,29018.0,Gaming,20-25 min,Friday
248,2021-04-09 18:05:52+00:00,GeorgeWasFound,"Minecraft, But If You Laugh You Lose REMATCH - Extra Scenes",359,False,True,rectangular,49.18388888888889,5,27.386666666666667,6768.0,137.60603630366765,7,7,336217,6835.91736227988,650374,40561.0,390.0,1089.0,Gaming,5-10 min,Friday
249,2021-04-07 19:00:06+00:00,Lylons,Why you should NEVER GIVE UP in Minecraft... #shorts,24,False,False,rectangular,42.66722222222222,5,74.48277777777778,8900.0,208.59103397091184,12,12,349918,8201.096339891408,806662,33142.0,5798.0,642.0,Gaming,0-5 min,Wednesday
250,2021-04-09 14:00:18+00:00,Yeah Jaron,I joined a random parkour world and kinda cheesed it,57,False,True,rectangular,49.18388888888889,5,31.479444444444443,48412.0,984.306062283268,13,7,1065820,21670.10425726582,1424426,73987.0,1491.0,619.0,Gaming,0-5 min,Friday
259,2021-04-10 00:06:39+00:00,I Talk,"Fortnite Item Shop 16 *RARE* ITEMS + *NEW* VAULTED SHOP! [April 9th, 2021] (Fortnite Battle Royale)",254,False,True,rectangular,24.916944444444443,6,24.72388888888889,342.0,13.725599491644465,20,20,49970,2005.4625923902745,355719,13054.0,358.0,3318.0,Gaming,0-5 min,Saturday
266,2021-04-10 16:00:11+00:00,Comments To Crafting,Minecraft but you can Mine mobs,1163,False,True,rectangular,43.884166666666665,6,29.248055555555556,6489.0,147.86654260268512,10,10,730113,16637.276162625094,1570602,19424.0,1578.0,2028.0,Gaming,15-20 min,Saturday
286,2021-04-11 07:54:56+00:00,Funtime Robbie,Friday Night Funkin' - The Hardest Mods Compilation (Part 2) (READ DESC!),858,False,True,rectangular,21.300555555555555,0,17.852222222222224,4173.0,195.91038314076317,29,27,305083,14322.771967345661,714993,14062.0,455.0,1985.0,Gaming,10-15 min,Sunday
304,2021-04-12 11:06:56+00:00,Clash of Clans,TOWN HALL 14 Is Here! (Clash Of Clans Official),66,False,False,rectangular,67.15055555555556,0,11.568888888888889,49695.0,740.0534454087416,1,1,7465878,111181.17993563386,9814041,132845.0,4325.0,6712.0,Gaming,0-5 min,Monday
305,2021-04-12 07:03:41+00:00,SmallAnt,I challenged the Mario Speedrun Master...and won. Here's how.,966,False,True,rectangular,47.583888888888886,0,15.623333333333333,16610.0,349.067728339424,15,11,500918,10527.050472265357,811366,32958.0,461.0,1767.0,Gaming,15-20 min,Monday
306,2021-04-07 10:41:50+00:00,markatdawall,villager iq test!!!!! Minecraft,26,False,False,rectangular,22.550555555555555,0,131.9875,173.0,7.671651351284768,18,18,23167,1027.3361089896775,611496,27434.0,1211.0,139.0,Gaming,0-5 min,Wednesday
308,2021-04-11 19:30:01+00:00,videogamedunkey,Balan Wonderworld,599,False,True,rectangular,42.70055555555555,0,27.184444444444445,28519.0,667.883582050715,22,22,681553,15961.220905270555,2191169,85972.0,629.0,13656.0,Gaming,5-10 min,Sunday
315,2021-04-12 06:45:34+00:00,Ludwig,The End of the Subathon,1122,False,True,rectangular,17.61722222222222,0,16.325277777777778,5130.0,291.19233073696824,32,30,168305,9553.435716312952,656148,24127.0,219.0,1483.0,Gaming,15-20 min,Monday
316,2021-04-12 00:05:43+00:00,AfroSenju XL,The Jujutsu Kaisen Game You Might Never Play...,1024,False,True,rectangular,22.016944444444444,1,24.156388888888888,1254.0,56.95613227186132,34,34,45577,2070.0874326591893,210121,10166.0,171.0,1295.0,Gaming,15-20 min,Monday
318,2021-04-11 15:00:17+00:00,Not PaulGG,"I Survived 200 Days Of Hardcore Minecraft, In A Void Only World.",1021,False,True,rectangular,36.31666666666667,1,33.64694444444444,7500.0,206.5167508031207,37,22,210976,5809.343735658558,965473,48703.0,448.0,4203.0,Gaming,15-20 min,Sunday
331,2021-04-12 21:00:19+00:00,Silver,"Minecraft, But Structures Spawn Every Minute...",1333,False,True,rectangular,53.01722222222222,1,20.145833333333332,31575.0,595.5611908080183,5,5,1411897,26630.91238696021,2284302,77809.0,2928.0,4846.0,Gaming,20-25 min,Monday
342,2021-04-13 04:44:08+00:00,Adin Live,Adin Ross Trolls Polo G! (SUS FREESTYLE),490,False,True,rectangular,43.08416666666667,1,17.54888888888889,8752.0,203.1372700721456,9,9,271383,6298.903309413744,494035,23867.0,228.0,907.0,Gaming,5-10 min,Tuesday
343,2021-04-13 09:30:38+00:00,Fortnite,Chonkers Off-Road Tires Arrive To The Fortnite Island,38,False,True,rectangular,19.100555555555555,1,12.773888888888889,4726.0,247.427358133853,15,15,382041,20001.56481777726,1315425,69134.0,1772.0,5812.0,Gaming,0-5 min,Tuesday
358,2021-04-13 13:55:03+00:00,Subnautica,Subnautica: Below Zero Trailer,124,False,False,rectangular,39.85055555555556,2,11.133888888888889,17611.0,441.926084956295,28,21,477463,11981.338612315456,653571,42897.0,188.0,4296.0,Gaming,0-5 min,Tuesday
361,2021-04-12 21:33:09+00:00,Grian,Hermitcraft 7: Episode 74 - THE FINAL BARGE BUILD,1249,False,True,rectangular,43.76694444444445,2,28.84888888888889,10982.0,250.91996115790073,36,34,374162,8548.963258674417,1886233,105494.0,668.0,11556.0,Gaming,20-25 min,Monday
362,2021-04-13 20:15:55+00:00,TheLlamaSir,New SECRET WEAPON Added in the Fortnite Update!,630,False,True,rectangular,30.4675,2,21.135833333333334,4166.0,136.73586608681381,6,6,178029,5843.242799704603,498090,26004.0,1162.0,4843.0,Gaming,10-15 min,Tuesday
368,2021-04-13 15:59:17+00:00,Mass Effect,Mass Effect Legendary Edition – Official Remastered Comparison Trailer (4K),130,True,True,rectangular,23.967222222222222,2,25.413333333333334,1792.0,74.76878143761155,21,21,88040,3673.350177325514,289045,12270.0,602.0,1994.0,Gaming,0-5 min,Tuesday
371,2021-04-13 18:05:07+00:00,The Game Theorists,"Game Theory: Dear MatPat, I Fixed Your Theory (First Episode Remastered)",793,False,True,rectangular,51.50055555555556,2,23.7825,38595.0,749.40939148445,2,2,941428,18279.958145003828,2664865,203035.0,1618.0,16785.0,Gaming,10-15 min,Tuesday
380,2021-04-14 01:00:03+00:00,Klem Family,Multi Money Ball -PLINKO!!,31,False,True,rectangular,51.76722222222222,2,20.950277777777778,137682.0,2659.6366211996005,7,4,6334733,122369.57534261276,8857045,251324.0,11538.0,1233.0,Gaming,0-5 min,Wednesday
384,2021-04-14 15:00:05+00:00,Minecraft,A Caves & Cliffs Announcement,414,True,False,rectangular,48.38388888888889,2,7.616388888888889,90886.0,1878.4351999632568,4,4,1832726,37878.84856070088,2931160,235633.0,4966.0,39839.0,Gaming,5-10 min,Wednesday
387,2021-04-13 19:00:03+00:00,Checkpoint,Jumping SCP CARS Across GTA 5! (Impossible),663,False,True,rectangular,17.33388888888889,2,28.567222222222224,1208.0,69.69007403608859,35,35,88451,5102.778757091119,649758,15798.0,502.0,366.0,Gaming,10-15 min,Tuesday
388,2021-04-14 16:27:58+00:00,Nintendo,Indie World Showcase 4.14.2021 - Nintendo Switch,1300,False,False,rectangular,64.23388888888888,3,8.885,10379.0,161.5813736258984,1,1,1534914,23895.704067600178,2404154,46306.0,3293.0,5332.0,Gaming,20-25 min,Wednesday
393,2021-04-14 18:36:55+00:00,FaZe Clan,Prank Calling FaZe Clan Members,805,False,True,rectangular,48.31722222222222,3,22.3025,8905.0,184.3028135815387,6,6,488674,10113.867841004474,965998,35975.0,1161.0,1481.0,Gaming,10-15 min,Wednesday
394,2021-04-15 02:13:33+00:00,TapL,"Minecraft, But There Are Custom Enchants...",1461,False,True,rectangular,56.46722222222222,3,14.691944444444445,68814.0,1218.653889670507,11,7,3253086,57610.1651892445,4405302,137323.0,2797.0,8178.0,Gaming,20-25 min,Thursday
405,2021-04-14 22:05:00+00:00,Wisp,"Minecraft, But All Ores Are Potions...",1280,False,True,rectangular,19.300555555555555,3,24.101388888888888,19738.0,1022.664862842175,15,10,668086,34614.858524509946,3070439,148323.0,2222.0,7825.0,Gaming,20-25 min,Wednesday
406,2021-04-15 11:02:09+00:00,Sea of Thieves,Sea of Thieves Season Two: Official Content Update Trailer,223,True,False,rectangular,25.183611111111112,3,11.148888888888889,2250.0,89.34381928282282,21,20,112997,4486.926021111613,260554,12667.0,384.0,1907.0,Gaming,0-5 min,Thursday
412,2021-04-12 16:00:11+00:00,Nigmas - Minecraft Building,Minecraft and logic... #Shorts,48,False,False,rectangular,21.767222222222223,3,79.88138888888889,282.0,12.955258926520507,14,14,29354,1348.5413848549042,847124,57493.0,1559.0,350.0,Gaming,0-5 min,Monday
413,2021-04-14 23:28:20+00:00,Lythero,DBFZ - Lobby ShenaniganZ 5,1029,False,True,rectangular,49.50055555555556,3,24.4125,16491.0,333.14777611923546,17,17,421552,8516.106441005151,797835,71461.0,246.0,4329.0,Gaming,15-20 min,Wednesday
423,2021-04-15 16:09:03+00:00,destinygame,Destiny 2: Season of the Chosen - Guardian Games Trailer,58,False,False,rectangular,39.617222222222225,4,9.816944444444445,3555.0,89.73370167295367,16,13,209952,5299.513399054844,416497,16747.0,490.0,4418.0,Gaming,0-5 min,Thursday
431,2021-04-15 19:07:15+00:00,MrBeast Gaming,1000 People Build 10 Countries!,599,False,True,rectangular,31.884166666666665,4,22.380277777777778,103787.0,3255.1266302501244,10,9,3315698,103991.99184548235,10811726,572410.0,6734.0,32552.0,Gaming,5-10 min,Thursday
432,2021-04-15 23:00:25+00:00,xNestorio,"Minecraft, But Every Mob Is Lucky...",996,False,True,rectangular,31.88388888888889,4,18.49416666666667,15111.0,473.93842240072485,11,8,582764,18277.695108989214,1218969,50448.0,1183.0,1761.0,Gaming,15-20 min,Thursday
434,2021-04-16 01:51:19+00:00,julien 2,an announcement 🙂,338,False,True,rectangular,31.88388888888889,4,15.645833333333334,39032.0,1224.1919464724433,13,12,304024,9535.348748061542,549921,106663.0,198.0,13605.0,Gaming,5-10 min,Friday
441,2021-04-16 12:50:29+00:00,Genshin Impact,"Version 1.5 ""Beneath the Light of Jadeite"" Trailer | Genshin Impact",299,True,False,rectangular,27.716944444444444,4,8.826666666666666,24805.0,894.9399184213428,4,4,509873,18395.714615006866,1671319,168806.0,482.0,17185.0,Gaming,0-5 min,Friday
443,2021-04-16 13:15:16+00:00,Fundy,I made your dumb Ideas in Minecraft again...,713,False,True,rectangular,73.30027777777778,4,8.746666666666666,152974.0,2086.9497993413697,2,1,2061482,28123.795195561634,2783405,273056.0,2448.0,19732.0,Gaming,10-15 min,Friday
445,2021-04-15 21:34:26+00:00,NRG Rocket League,"NRG Rocket League Pros Play with Unlimited Boost (Challenge) | musty, jstn, GarrettG, Squishy, Sizz",779,False,True,rectangular,26.36722222222222,4,25.44388888888889,1524.0,57.79903499715556,19,19,71410,2708.2868039021514,279520,10975.0,89.0,642.0,Gaming,10-15 min,Thursday
448,2021-04-15 22:30:15+00:00,Dead by Daylight,Dead by Daylight | Resident Evil | Teaser,24,False,False,rectangular,26.000555555555554,4,24.880277777777778,3740.0,143.8430802760625,19,19,170602,6561.475182154228,727235,40690.0,297.0,6419.0,Gaming,0-5 min,Thursday
451,2021-04-16 16:00:16+00:00,Genshin Impact,Version 1.5 Special Program｜Genshin Impact,2872,True,False,rectangular,23.650277777777777,5,9.73,37180.0,1572.0745586732596,6,3,796762,33689.329465240015,1955989,161755.0,736.0,13098.0,Gaming,45-50 min,Friday
453,2021-04-16 17:30:03+00:00,Purpled,I Broke Bedwars with TommyInnit,553,False,True,rectangular,23.650277777777777,5,8.233611111111111,14021.0,592.8471594179068,18,12,165544,6999.6640866327625,308819,34661.0,281.0,1857.0,Gaming,5-10 min,Friday
464,2021-04-18 00:15:03+00:00,TerminalMontage,Mega Pokemon Battle Royale (Loud Sound/Flashing Lights Warning) ☄️ Collab With @Lockstin & Gnoggin,545,True,True,rectangular,43.81666666666667,6,20.36722222222222,75846.0,1730.9851654621527,5,3,1661245,37913.541270445035,3061036,219744.0,1299.0,22613.0,Gaming,5-10 min,Sunday
466,2021-04-18 15:33:05+00:00,Skip the Tutorial,47 Minecraft Block Facts You Possibly Didn’t Know,856,False,True,rectangular,38.500277777777775,0,10.383055555555556,37194.0,966.0709518690342,3,2,1018099,26443.93907691864,1554832,70426.0,1054.0,4374.0,Gaming,10-15 min,Sunday
